iter	RMSE
0	18.66973
1	17.21707654
2	15.92168348
3	14.73165248
4	13.73323306
5	12.81208827
6	11.97269473
7	11.15311788
8	10.42927424
9	9.817341645
10	9.217770495
11	8.651306581
12	8.156027473
13	7.718675822
14	7.307051716
15	6.915765613
16	6.551065673
17	6.212671193
18	5.925140836
19	5.686450592
20	5.443961582
21	5.202458581
22	4.984785297
23	4.768109423
24	4.587258365
25	4.435547293
26	4.256331867
27	4.130198082
28	3.972605391
29	3.841118485
30	3.729106965
31	3.639254485
32	3.545451532
33	3.466399773
34	3.362057793
35	3.29243088
36	3.211958404
37	3.13881724
38	3.074365955
39	3.012967232
40	2.961651396
41	2.914359863
42	2.863587123
43	2.829513709
44	2.798732835
45	2.758867649
46	2.735414806
47	2.712910771
48	2.680764255
49	2.648539905
50	2.625723449
51	2.600413518
52	2.581384801
53	2.560429034
54	2.534106914
55	2.517288647
56	2.501721014
57	2.489133656
58	2.478287619
59	2.468242958
60	2.451945876
61	2.439122257
62	2.428602927
63	2.418607969
64	2.409524652
65	2.399093856
66	2.384414518
67	2.375095662
68	2.358142394
69	2.351040576
70	2.344684973
71	2.33273883
72	2.320102892
73	2.312131875
74	2.30508355
75	2.297199967
76	2.288993642
77	2.274039395
78	2.267622192
79	2.261394569
80	2.255799625
81	2.240964294
82	2.234418605
83	2.228199387
84	2.220323892
85	2.211606249
86	2.206257458
87	2.196682189
88	2.189455993
89	2.18374416
90	2.174987596
91	2.163100429
92	2.154806015
93	2.146017719
94	2.141468493
95	2.133274226
96	2.125763885
97	2.120374296
98	2.115261975
99	2.107143737
100	2.102384768
101	2.097616943
102	2.092023839
103	2.083283861
104	2.07697742
105	2.072196185
106	2.067287838
107	2.062836138
108	2.056575834
109	2.05050842
110	2.046564213
111	2.042799581
112	2.036920224
113	2.030865986
114	2.026761179
115	2.021330698
116	2.016280735
117	2.009788611
118	2.005715419
119	2.001742515
120	1.996459258
121	1.991421644
122	1.986690643
123	1.983529825
124	1.979192708
125	1.975443501
126	1.97159905
127	1.967969853
128	1.964005589
129	1.959913731
130	1.956987033
131	1.953255647
132	1.948969323
133	1.943968249
134	1.940332769
135	1.937053457
136	1.933286281
137	1.930680459
138	1.926554215
139	1.922716875
140	1.920072909
141	1.915862514
142	1.912031541
143	1.908504427
144	1.904578406
145	1.902147331
146	1.897318496
147	1.894339195
148	1.891485687
149	1.887296477
150	1.882572232
151	1.880065116
152	1.876686137
153	1.874042985
154	1.871251342
155	1.867957423
156	1.86523186
157	1.863001457
158	1.860073502
159	1.857906311
160	1.854763932
161	1.852510313
162	1.849651353
163	1.847062084
164	1.844993149
165	1.841637577
166	1.838965128
167	1.835022568
168	1.831593946
169	1.828916561
170	1.825470236
171	1.823108851
172	1.820103074
173	1.81819541
174	1.815034536
175	1.812515388
176	1.809746393
177	1.807863975
178	1.80546275
179	1.802679387
180	1.800300542
181	1.798128988
182	1.795758684
183	1.793499367
184	1.79117195
185	1.788621938
186	1.78605865
187	1.784552518
188	1.781809797
189	1.778958434
190	1.775781879
191	1.773113265
192	1.770908472
193	1.768505327
194	1.766785064
195	1.764750834
196	1.762062025
197	1.758903637
198	1.756887337
199	1.755180978
200	1.753053298
201	1.750697144
202	1.7493402
203	1.747368997
204	1.744564294
205	1.743040033
206	1.740707472
207	1.73905731
208	1.736952915
209	1.735012706
210	1.733419179
211	1.731395364
212	1.729550174
213	1.727852693
214	1.725188509
215	1.72280858
216	1.720646764
217	1.718578054
218	1.716020617
219	1.713863677
220	1.71153307
221	1.708585237
222	1.705075055
223	1.702674944
224	1.700470112
225	1.698525102
226	1.696414532
227	1.695111939
228	1.69293587
229	1.690514361
230	1.688021267
231	1.686290874
232	1.683769308
233	1.68181316
234	1.680025313
235	1.67747464
236	1.67499455
237	1.673003833
238	1.67011845
239	1.668265163
240	1.666584297
241	1.664256673
242	1.662256077
243	1.660139174
244	1.658509144
245	1.656098272
246	1.654394555
247	1.652096706
248	1.649697398
249	1.648691274
250	1.647319232
251	1.645756111
252	1.643623281
253	1.641970981
254	1.640584079
255	1.639130823
256	1.637139491
257	1.635071418
258	1.633116013
259	1.631685366
260	1.629924688
261	1.628600417
262	1.626481109
263	1.624663198
264	1.623575424
265	1.622091127
266	1.619618272
267	1.617604466
268	1.616145704
