iter	Passed	Remaining
0	0	253
1	1	251
2	2	242
3	3	238
4	4	236
5	5	231
6	6	233
7	7	233
8	8	233
9	8	231
10	9	230
11	10	228
12	11	227
13	12	226
14	13	225
15	14	224
16	15	224
17	16	224
18	17	224
19	17	223
20	18	221
21	19	220
22	20	218
23	21	218
24	22	217
25	23	216
26	24	215
27	24	214
28	25	213
29	26	212
30	27	211
31	28	210
32	29	209
33	30	208
34	30	207
35	31	205
36	32	205
37	33	204
38	34	203
39	35	202
40	36	201
41	37	200
42	37	199
43	38	198
44	39	197
45	40	196
46	41	196
47	42	195
48	43	194
49	44	193
50	45	192
51	45	191
52	46	190
53	47	189
54	48	189
55	49	188
56	50	187
57	51	186
58	52	185
59	52	184
60	53	183
61	54	182
62	55	181
63	56	180
64	57	180
65	58	178
66	59	178
67	59	177
68	60	176
69	61	175
70	62	174
71	63	173
72	64	172
73	65	172
74	66	171
75	67	170
76	67	169
77	68	168
78	69	167
79	70	167
80	71	166
81	72	165
82	73	164
83	74	163
84	75	162
85	75	161
86	76	160
87	77	159
88	78	158
89	79	157
90	80	156
91	81	155
92	81	155
93	82	154
94	83	153
95	84	152
96	85	151
97	86	150
98	87	149
99	88	148
100	88	147
101	90	147
102	90	146
103	91	145
104	92	144
105	93	143
106	94	142
107	95	142
108	96	141
109	96	140
110	97	139
111	98	138
112	99	137
113	100	136
114	101	135
115	102	134
116	103	133
117	103	133
118	104	132
119	105	131
120	106	130
121	107	129
122	108	128
123	109	127
124	110	126
125	110	125
126	111	125
127	112	124
128	113	123
129	114	122
130	115	121
131	116	120
132	117	119
133	118	119
134	119	118
135	119	117
136	120	116
137	121	115
138	122	114
139	123	113
140	124	112
141	125	111
142	125	111
143	126	110
144	127	109
145	128	108
146	129	107
147	130	106
148	131	105
149	132	105
150	133	104
151	134	103
152	136	103
153	137	102
154	138	101
155	139	100
156	140	100
157	141	99
158	142	98
159	143	97
160	144	97
161	145	96
162	146	95
163	148	94
164	149	94
165	150	93
166	151	92
167	152	91
168	153	90
169	154	90
170	156	89
171	157	88
172	158	87
173	159	87
174	160	86
175	161	85
176	162	84
177	162	83
178	164	82
179	165	81
180	165	80
181	167	79
182	167	78
183	168	77
184	169	76
185	170	76
186	171	75
187	172	74
188	173	73
189	173	72
190	174	71
191	175	70
192	176	69
193	177	68
194	178	67
195	179	66
196	180	65
197	181	65
198	182	64
199	183	63
200	184	62
201	185	61
202	186	60
203	187	59
204	188	58
205	189	57
206	189	56
207	190	55
208	191	55
209	192	54
210	193	53
211	194	52
212	195	51
213	196	50
214	197	49
215	197	48
216	198	47
217	199	46
218	200	45
219	201	44
220	202	43
221	203	43
222	204	42
223	205	41
224	206	40
225	207	39
226	207	38
227	208	37
228	209	36
229	210	35
230	211	34
231	212	33
232	213	32
233	214	32
234	215	31
235	216	30
236	216	29
237	217	28
238	218	27
239	219	26
240	220	25
241	221	24
242	222	23
243	223	22
244	224	21
245	225	21
246	225	20
247	226	19
248	227	18
249	228	17
250	229	16
251	230	15
252	231	14
253	232	13
254	233	12
255	233	11
256	234	10
257	235	10
258	236	9
259	237	8
260	238	7
261	239	6
262	240	5
263	241	4
264	242	3
265	243	2
266	244	1
267	244	0
268	245	0
