iter	RMSE
0	18.50223219
1	17.00637836
2	15.61144439
3	14.43594645
4	13.37869893
5	12.51548394
6	11.69227507
7	10.92710825
8	10.25591464
9	9.608074223
10	9.050037125
11	8.550477317
12	8.085175685
13	7.65689889
14	7.263787196
15	6.876262885
16	6.579390841
17	6.251854816
18	5.981515113
19	5.69222466
20	5.44771172
21	5.248929892
22	5.066706437
23	4.839876543
24	4.676922328
25	4.492415571
26	4.348265316
27	4.214822468
28	4.093803495
29	3.961591438
30	3.843600019
31	3.719709545
32	3.636501635
33	3.549103691
34	3.477478431
35	3.392708855
36	3.333895406
37	3.282019872
38	3.214270519
39	3.14904683
40	3.100853966
41	3.058494179
42	3.006842382
43	2.969737355
44	2.936271718
45	2.889942856
46	2.853862896
47	2.824449196
48	2.794555526
49	2.772832573
50	2.751304297
51	2.731171175
52	2.712659291
53	2.69517823
54	2.676356684
55	2.658587268
56	2.643439153
57	2.631773876
58	2.604312223
59	2.595825581
60	2.564016154
61	2.554597447
62	2.543005956
63	2.531203218
64	2.52005668
65	2.505299514
66	2.495261693
67	2.484442401
68	2.476382291
69	2.454952623
70	2.447098907
71	2.42409764
72	2.407445437
73	2.395665504
74	2.379822827
75	2.365998768
76	2.357321918
77	2.34632357
78	2.337047275
79	2.33147654
80	2.319790777
81	2.304136415
82	2.293591326
83	2.28480133
84	2.275712627
85	2.268803739
86	2.261777193
87	2.256685453
88	2.247174862
89	2.239517229
90	2.234955672
91	2.225894454
92	2.218375644
93	2.210214859
94	2.202971029
95	2.198081041
96	2.193921236
97	2.189603387
98	2.180296598
99	2.173807278
100	2.168902722
101	2.16253123
102	2.157476738
103	2.150867206
104	2.145660908
105	2.141446281
106	2.133260117
107	2.126811292
108	2.120346965
109	2.115656248
110	2.109019621
111	2.104161134
112	2.099919692
113	2.094645124
114	2.090745011
115	2.084539754
116	2.082055049
117	2.076376599
118	2.070118977
119	2.066372341
120	2.063285422
121	2.058177866
122	2.054609689
123	2.051231223
124	2.047781443
125	2.040607134
126	2.038393065
127	2.032791096
128	2.028406207
129	2.02539275
130	2.018590505
131	2.015028909
132	2.011981285
133	2.008830494
134	2.005372094
135	2.002149428
136	1.998203272
137	1.996077676
138	1.990115247
139	1.987502149
140	1.983233473
141	1.980551008
142	1.978036787
143	1.974839122
144	1.972712087
145	1.968955694
146	1.965425628
147	1.96391135
148	1.961147136
149	1.957306588
150	1.954432726
151	1.951703991
152	1.949498194
153	1.946997755
154	1.943245042
155	1.938575926
156	1.936846213
157	1.934296579
158	1.931300039
159	1.929380267
160	1.926789064
161	1.92560454
162	1.922660473
163	1.920374402
164	1.916948157
165	1.913506493
166	1.911433168
167	1.908123567
168	1.906982502
169	1.903895731
170	1.900648255
171	1.899016883
172	1.896873695
173	1.894624284
174	1.893026175
175	1.889547517
176	1.887160375
177	1.88447141
178	1.882691094
179	1.880574121
180	1.877757607
181	1.875566118
182	1.873473056
183	1.870017184
184	1.866623146
185	1.863597486
186	1.861238269
187	1.857762313
188	1.855504227
189	1.853561957
190	1.852150117
191	1.848781069
192	1.846789866
193	1.845907538
194	1.843734933
195	1.841858003
196	1.839785588
197	1.837293838
198	1.834992991
199	1.832620335
200	1.831007431
201	1.829064939
202	1.82774719
203	1.826126755
204	1.823429743
205	1.820991343
206	1.819483467
207	1.816951822
208	1.815229344
209	1.81336676
210	1.811480556
211	1.808964173
212	1.807116538
213	1.805201454
214	1.80338581
215	1.801068295
216	1.799519819
217	1.797638162
218	1.79542995
219	1.793233081
220	1.790418833
221	1.788347344
222	1.786902024
223	1.785460562
224	1.784150557
225	1.783153704
226	1.781832644
227	1.779784714
228	1.777745924
229	1.77710238
230	1.775190969
231	1.773846227
232	1.771490942
233	1.769174598
234	1.76719163
235	1.765330193
236	1.76316158
237	1.7610807
238	1.759666439
239	1.757325407
240	1.755274006
241	1.753214685
242	1.75148627
243	1.750269746
244	1.748249941
245	1.746412349
246	1.744524577
247	1.743025819
248	1.74140622
249	1.739414444
250	1.738295355
251	1.736208073
252	1.734847699
253	1.732352239
254	1.730737734
255	1.729706096
256	1.727949151
257	1.726712473
258	1.725117133
259	1.72347171
260	1.721690687
261	1.7196229
262	1.718158186
263	1.716210481
264	1.714670974
265	1.71334769
266	1.711415181
267	1.709810772
268	1.708883166
269	1.707722881
270	1.706425944
271	1.705518817
272	1.70440702
273	1.70282191
274	1.70052823
275	1.698705579
276	1.697213603
277	1.694570694
