iter	Passed	Remaining
0	0	185
1	1	182
2	1	182
3	2	181
4	3	177
5	3	174
6	4	172
7	5	172
8	5	173
9	6	173
10	7	171
11	7	170
12	8	172
13	9	175
14	10	178
15	10	178
16	11	180
17	12	178
18	12	177
19	13	175
20	14	174
21	14	173
22	15	172
23	16	172
24	17	172
25	17	171
26	18	169
27	18	168
28	19	167
29	20	166
30	20	165
31	21	165
32	22	165
33	22	164
34	23	163
35	24	163
36	24	162
37	25	162
38	26	161
39	26	160
40	27	159
41	28	159
42	29	158
43	29	157
44	30	156
45	30	155
46	31	154
47	32	153
48	32	152
49	33	151
50	33	150
51	34	149
52	35	149
53	35	148
54	36	147
55	36	146
56	37	146
57	38	145
58	38	144
59	39	143
60	40	143
61	40	142
62	41	141
63	42	140
64	42	139
65	43	139
66	43	138
67	44	137
68	45	137
69	45	136
70	46	135
71	47	134
72	47	134
73	48	133
74	48	132
75	49	131
76	50	130
77	50	130
78	51	129
79	51	128
80	52	127
81	53	127
82	53	126
83	54	125
84	55	125
85	55	124
86	56	123
87	56	122
88	57	122
89	58	121
90	58	120
91	59	120
92	60	119
93	60	118
94	61	118
95	61	117
96	62	116
97	63	115
98	63	115
99	64	114
100	65	113
101	65	113
102	66	112
103	66	111
104	67	111
105	68	110
106	68	109
107	69	109
108	69	108
109	70	107
110	71	107
111	72	107
112	72	106
113	73	105
114	74	105
115	74	104
116	75	103
117	76	103
118	76	102
119	77	102
120	78	101
121	78	100
122	79	100
123	80	99
124	80	98
125	81	98
126	81	97
127	82	96
128	83	96
129	83	95
130	84	94
131	85	94
132	85	93
133	86	92
134	86	92
135	87	91
136	88	90
137	88	90
138	89	89
139	90	88
140	90	88
141	91	87
142	92	86
143	92	86
144	93	85
145	93	84
146	94	84
147	95	83
148	95	82
149	96	82
150	96	81
151	97	80
152	98	80
153	98	79
154	99	78
155	99	78
156	100	77
157	101	76
158	101	76
159	102	75
160	103	74
161	103	74
162	104	73
163	104	72
164	105	72
165	106	71
166	106	70
167	107	70
168	107	69
169	108	68
170	109	68
171	109	67
172	110	67
173	111	66
174	111	65
175	112	65
176	113	64
177	113	63
178	114	63
179	114	62
180	115	61
181	116	61
182	116	60
183	117	59
184	117	59
185	118	58
186	119	58
187	119	57
188	120	56
189	121	56
190	121	55
191	122	54
192	123	54
193	123	53
194	124	52
195	124	52
196	125	51
197	126	51
198	126	50
199	127	49
200	128	49
201	128	48
202	129	47
203	129	47
204	130	46
205	131	45
206	131	45
207	132	44
208	133	43
209	133	43
210	134	42
211	135	42
212	135	41
213	136	40
214	136	40
215	137	39
216	137	38
217	138	38
218	139	37
219	139	36
220	140	36
221	141	35
222	141	34
223	142	34
224	143	33
225	143	33
226	144	32
227	145	31
228	145	31
229	146	30
230	146	29
231	147	29
232	148	28
233	148	27
234	149	27
235	149	26
236	150	26
237	151	25
238	151	24
239	152	24
240	153	23
241	153	22
242	154	22
243	155	21
244	155	20
245	156	20
246	157	19
247	157	19
248	158	18
249	158	17
250	159	17
251	160	16
252	160	15
253	161	15
254	161	14
255	162	13
256	163	13
257	163	12
258	164	12
259	165	11
260	165	10
261	166	10
262	166	9
263	167	8
264	168	8
265	168	7
266	169	6
267	169	6
268	170	5
269	171	5
270	171	4
271	172	3
272	173	3
273	173	2
274	174	1
275	174	1
276	175	0
277	176	0
